FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
Garrison,Mathews,white,USA,,Garrison Mathews
Gary,Clark,black,USA,,Gary Clark
Gary,Harris,black,USA,,Gary Harris
Gary,Payton II,black,USA,,Gary Payton II
Gary,Trent Jr.,black,USA,,Gary Trent Jr.
George,Hill,black,USA,,George Hill
Georges,Niang,black/Mixed,Senegal,,Georges Niang
Giannis,Antetokounmpo,black,Greece,,Giannis Antetokounmpo
Glenn,Robinson III,black,USA,,Glenn Robinson III
Goga,Bitadze,white,Georgia,,Goga Bitadze
Goran,Dragic,white,Slovenia,,Goran Dragic
Gordon,Hayward,white,USA,,Gordon Hayward
Gorgui,Dieng,black,Senegal,,Gorgui Dieng
Grant,Williams,black,USA,,Grant Williams
Grayson,Allen,white,USA,,Grayson Allen
Hamidou,Diallo,black,USA,,Hamidou Diallo
Harrison,Barnes,black,USA,,Harrison Barnes
Harry,Giles III,black,USA,,Harry Giles III
Hassan,whiteside,black,USA,,Hassan Whiteside
Ian,Mahinmi,black,France,,Ian Mahinmi
Ignas,Brazdeikis,white,Lithuania,Canadian,Ignas Brazdeikis
Isaac,Bonga,black,Germany,,Isaac Bonga
Isaiah,Hartenstein,Mixed,USA,,Isaiah Hartenstein
Isaiah,Roby,black/Mixed,USA,,Isaiah Roby
Ish,Smith,black,USA,,Ish Smith
Ivica,Zubac,white,Croatia,,Ivica Zubac
J.J.,Barea,white/Puerto Rican,Puerto Rico,Hispanic,J.J. Barea
Ja,Morant,black,USA,,Ja Morant
Jabari,Parker,black,USA,,Jabari Parker
Jacob,Evans,black,USA,,Jacob Evans
Jae,Crowder,black,USA,,Jae Crowder
Jahlil,Okafor,black,USA,,Jahlil Okafor
JaKarr,Sampson,black,USA,,JaKarr Sampson
Jake,Layman,white,USA,,Jake Layman
Jakob,Poeltl,white,Austria,,Jakob Poeltl
Jalen,Brunson,black,USA,,Jalen Brunson
Jalen,Lecque,black,USA,,Jalen Lecque
Jalen,McDaniels,black,USA,,Jalen McDaniels
Jamal,Murray,black/Mixed,Canada,,Jamal Murray
James,Ennis III,black,USA,,James Ennis III
James,Harden,black,USA,,James Harden
James,Johnson,black,USA,,James Johnson
JaMychal,Green,black,USA,,JaMychal Green
Jared,Dudley,black/Mixed,USA,,Jared Dudley
Jared,Harper,black,USA,,Jared Harper
Jaren,Jackson Jr.,black,USA,,Jaren Jackson Jr.
Jarred,Vanderbilt,black,USA,,Jarred Vanderbilt
Jarrell,Brantley,black,USA,,Jarrell Brantley
Jarrett,Allen,black,USA,,Jarrett Allen
Jarrett,Culver,black,USA,,Jarrett Culver
JaVale,McGee,black,USA,,JaVale McGee
Javonte,Green,black,USA,,Javonte Green
Jaxson,Hayes,black/Mixed,USA,,Jaxson Hayes
Jaylen,Brown,black,USA,,Jaylen Brown
Jaylen,Hoard,black,France,,Jaylen Hoard
Jaylen,Nowell,black,USA,,Jaylen Nowell
